roi_number,Area,B180,B90,Bflip,Biovolume,BoundingBox_xwidth,BoundingBox_ywidth,ConvexArea,ConvexPerimeter,Eccentricity,EquivDiameter,Extent,H180,H90,Hflip,MajorAxisLength,MinorAxisLength,Orientation,Perimeter,RWcenter2total_powerratio,RWhalfpowerintegral,RepresentativeWidth,RotatedBoundingBox_xwidth,RotatedBoundingBox_ywidth,Solidity,SurfaceArea,maxFeretDiameter,minFeretDiameter,moment_invariant1,moment_invariant2,moment_invariant3,moment_invariant4,moment_invariant5,moment_invariant6,moment_invariant7,numBlobs,shapehist_kurtosis_normEqD,shapehist_mean_normEqD,shapehist_median_normEqD,shapehist_skewness_normEqD,summedArea,summedBiovolume,summedConvexArea,summedConvexPerimeter,summedMajorAxisLength,summedMinorAxisLength,summedPerimeter,summedSurfaceArea,texture_average_contrast,texture_average_gray_level,texture_entropy,texture_smoothness,texture_third_moment,texture_uniformity,Wedge01,Wedge02,Wedge03,Wedge04,Wedge05,Wedge06,Wedge07,Wedge08,Wedge09,Wedge10,Wedge11,Wedge12,Wedge13,Wedge14,Wedge15,Wedge16,Wedge17,Wedge18,Wedge19,Wedge20,Wedge21,Wedge22,Wedge23,Wedge24,Wedge25,Wedge26,Wedge27,Wedge28,Wedge29,Wedge30,Wedge31,Wedge32,Wedge33,Wedge34,Wedge35,Wedge36,Wedge37,Wedge38,Wedge39,Wedge40,Wedge41,Wedge42,Wedge43,Wedge44,Wedge45,Wedge46,Wedge47,Wedge48,Ring01,Ring02,Ring03,Ring04,Ring05,Ring06,Ring07,Ring08,Ring09,Ring10,Ring11,Ring12,Ring13,Ring14,Ring15,Ring16,Ring17,Ring18,Ring19,Ring20,Ring21,Ring22,Ring23,Ring24,Ring25,Ring26,Ring27,Ring28,Ring29,Ring30,Ring31,Ring32,Ring33,Ring34,Ring35,Ring36,Ring37,Ring38,Ring39,Ring40,Ring41,Ring42,Ring43,Ring44,Ring45,Ring46,Ring47,Ring48,Ring49,Ring50,HOG01,HOG02,HOG03,HOG04,HOG05,HOG06,HOG07,HOG08,HOG09,HOG10,HOG11,HOG12,HOG13,HOG14,HOG15,HOG16,HOG17,HOG18,HOG19,HOG20,HOG21,HOG22,HOG23,HOG24,HOG25,HOG26,HOG27,HOG28,HOG29,HOG30,HOG31,HOG32,HOG33,HOG34,HOG35,HOG36,HOG37,HOG38,HOG39,HOG40,HOG41,HOG42,HOG43,HOG44,HOG45,HOG46,HOG47,HOG48,HOG49,HOG50,HOG51,HOG52,HOG53,HOG54,HOG55,HOG56,HOG57,HOG58,HOG59,HOG60,HOG61,HOG62,HOG63,HOG64,HOG65,HOG66,HOG67,HOG68,HOG69,HOG70,HOG71,HOG72,HOG73,HOG74,HOG75,HOG76,HOG77,HOG78,HOG79,HOG80,HOG81,Area_over_PerimeterSquared,Area_over_Perimeter,H90_over_Hflip,H90_over_H180,Hflip_over_H180,summedConvexPerimeter_over_Perimeter,rotated_BoundingBox_solidity
1,12089,0.948879,0.931012,0.950947,1039965.081309,144,128,13713.526381,419.052763,0.405107,124.065277,0.655870,2.386056,3.495612,2.265968,130.217494,119.053853,-70.763209,527.043723,0.957565,23506650.312202,95.188976,127,145,0.881538,65520.472094,145.242891,126.739307,0.160931,0.000207,0.000001,0.000000,0.000000,0.000000,0.000000,1,1.911475,0.639705,0.705746,-0.445934,12089,1039965.081309,13713.526381,419.052763,130.217494,119.053853,527.043723,65520.472094,73.069917,60.232525,6.734623,0.075880,8.760668,0.014020,0.011448,0.016167,0.014974,0.015907,0.014064,0.013699,0.017347,0.021422,0.017405,0.013939,0.018231,0.023443,0.014968,0.025978,0.019853,0.023873,0.023309,0.023754,0.026767,0.030731,0.030231,0.028037,0.031424,0.025423,0.025375,0.030725,0.026704,0.029107,0.031796,0.035531,0.025042,0.017263,0.023410,0.019230,0.023530,0.027811,0.016873,0.020359,0.014026,0.017291,0.018370,0.014635,0.017548,0.015050,0.015396,0.011450,0.010946,0.010136,27.253072,3.009617,0.921017,0.328659,0.220418,0.118272,0.109338,0.107921,0.087018,0.056919,0.052986,0.038547,0.035739,0.028074,0.024835,0.024494,0.022644,0.019679,0.017311,0.016026,0.013735,0.012843,0.013439,0.011007,0.010034,0.010015,0.010101,0.008517,0.008683,0.008842,0.008042,0.007629,0.007845,0.007216,0.006998,0.007008,0.006726,0.006151,0.005618,0.006014,0.006524,0.005991,0.006230,0.005793,0.005505,0.005452,0.005154,0.005869,0.005495,0.005172,0.102801,0.082840,0.595630,0.146869,0.431211,0.089564,0.238791,0.464641,0.373291,0.046341,0.125337,0.610749,0.105166,0.093464,0.204723,0.598594,0.418184,0.119282,0.237579,0.168158,0.608702,0.092532,0.252986,0.404242,0.499059,0.077025,0.231931,0.354026,0.235417,0.198307,0.166849,0.561988,0.138406,0.166824,0.220773,0.583542,0.192380,0.248788,0.489721,0.435627,0.295191,0.311937,0.314815,0.335332,0.274769,0.347371,0.114836,0.218034,0.482183,0.502096,0.416703,0.157959,0.108788,0.351538,0.357069,0.558866,0.411211,0.128749,0.484452,0.157596,0.234380,0.143466,0.198627,0.182138,0.462206,0.706257,0.362692,0.127686,0.155014,0.221561,0.158455,0.091193,0.300610,0.124338,0.513775,0.611548,0.262528,0.167211,0.147576,0.170483,0.329383,0.043521,22.937376,1.542657,1.465017,0.949671,0.795101,0.656476
2,12858,0.920009,0.925606,0.925840,1130076.954189,162,130,14951.891046,448.782091,0.357223,127.950436,0.610541,5.627120,4.713077,5.126561,133.873946,125.040842,73.667958,583.055916,0.954901,26551619.718533,97.454545,132,157,0.859958,71666.049137,162.372697,128.832450,0.163103,0.000124,0.000044,0.000002,0.000000,0.000000,0.000000,1,1.876316,0.646056,0.704720,-0.331424,12858,1130076.954189,14951.891046,448.782091,133.873946,125.040842,583.055916,71666.049137,60.130635,51.029787,6.495018,0.052676,6.311466,0.016405,0.011028,0.017555,0.022571,0.024495,0.018364,0.019029,0.024663,0.034220,0.029572,0.026090,0.024024,0.022352,0.018334,0.025120,0.016766,0.019481,0.021939,0.016833,0.015167,0.016966,0.022063,0.023742,0.024501,0.021767,0.025720,0.031845,0.033636,0.040899,0.029475,0.034037,0.037288,0.034398,0.021980,0.012074,0.011004,0.013570,0.011202,0.017817,0.015505,0.013763,0.015685,0.015566,0.013306,0.012459,0.010960,0.009464,0.011641,0.010064,24.780360,2.730105,0.755914,0.268799,0.230741,0.139117,0.112349,0.093453,0.081272,0.061034,0.048548,0.032615,0.036061,0.031038,0.026215,0.025831,0.021971,0.017179,0.016608,0.013818,0.013150,0.014438,0.012845,0.011850,0.010187,0.008867,0.008568,0.008307,0.007777,0.007803,0.007929,0.007876,0.008026,0.006776,0.006064,0.006097,0.005890,0.005818,0.005968,0.005890,0.005379,0.006254,0.006075,0.005328,0.005405,0.005509,0.005466,0.005871,0.005501,0.005701,0.106061,0.106953,0.626161,0.123533,0.437457,0.085951,0.377694,0.287990,0.381610,0.071525,0.115299,0.647943,0.136233,0.143543,0.260996,0.616214,0.230433,0.147163,0.296408,0.133015,0.637900,0.164725,0.258944,0.358811,0.437430,0.110654,0.247005,0.308894,0.176508,0.239033,0.183733,0.586161,0.113794,0.203055,0.271692,0.557631,0.136860,0.244442,0.420882,0.331208,0.340457,0.435505,0.391320,0.372169,0.193543,0.355723,0.153406,0.171742,0.289772,0.584165,0.420958,0.226421,0.163732,0.374078,0.259499,0.639672,0.257956,0.129172,0.542877,0.117822,0.181394,0.174382,0.261423,0.077782,0.558084,0.634621,0.361191,0.158294,0.138186,0.209678,0.221997,0.109035,0.309079,0.125408,0.512286,0.469650,0.413759,0.191215,0.141062,0.167993,0.387111,0.037823,22.052773,0.919345,0.837565,0.911045,0.769707,0.620730
3,2168,0.934502,0.741697,0.936347,92962.606413,83,44,2486.413924,197.827847,0.754652,52.539350,0.593647,2.777251,7.839318,2.473659,65.520140,42.989448,89.856787,200.923882,0.906167,9842494.949764,49.272727,44,83,0.871938,11859.519456,83.022264,44.000000,0.176953,0.004963,0.000167,0.000033,0.000000,0.000002,0.000000,1,2.310457,0.671080,0.711145,-0.003877,2168,92962.606413,2486.413924,197.827847,65.520140,42.989448,200.923882,11859.519456,75.561344,97.064114,7.097053,0.080718,3.603387,0.008827,0.009377,0.012197,0.011908,0.014806,0.013100,0.013115,0.013697,0.016986,0.017040,0.014833,0.018091,0.023071,0.016306,0.023750,0.022614,0.026617,0.028186,0.024704,0.025495,0.031867,0.042611,0.044957,0.047837,0.036482,0.037116,0.047151,0.041908,0.042276,0.034687,0.027340,0.022819,0.025357,0.020793,0.012476,0.013504,0.014650,0.008863,0.011649,0.009838,0.010929,0.010131,0.009054,0.009127,0.009114,0.008480,0.007696,0.008350,0.007046,4.545795,5.143004,2.183312,0.678391,0.277581,0.156322,0.139075,0.092756,0.062290,0.052675,0.046315,0.040968,0.030795,0.025346,0.024506,0.021895,0.020852,0.016031,0.015270,0.014776,0.014164,0.011565,0.011229,0.010971,0.010131,0.009856,0.008848,0.008168,0.008740,0.008626,0.007827,0.007311,0.007248,0.006795,0.006642,0.006334,0.006342,0.006452,0.006363,0.006242,0.005472,0.005574,0.005761,0.005739,0.005450,0.005670,0.005815,0.005670,0.005278,0.005702,0.112920,0.081115,0.740751,0.098908,0.446633,0.068934,0.188017,0.380056,0.195315,0.113097,0.114144,0.778468,0.123640,0.139805,0.220215,0.377345,0.338654,0.166624,0.240403,0.149796,0.823509,0.117072,0.116515,0.237590,0.323205,0.049920,0.225645,0.384577,0.330680,0.176150,0.125187,0.684187,0.113834,0.149124,0.293640,0.326369,0.317959,0.312152,0.388916,0.409984,0.223287,0.343634,0.363212,0.341158,0.256644,0.327065,0.168131,0.387481,0.446031,0.222330,0.369642,0.392913,0.205654,0.364600,0.290395,0.520943,0.357900,0.105217,0.656015,0.127974,0.205935,0.093568,0.085007,0.212362,0.421371,0.681009,0.317962,0.077875,0.145748,0.362512,0.220460,0.071754,0.291029,0.101337,0.586883,0.390116,0.132455,0.157290,0.333682,0.280872,0.419395,0.053703,10.790156,3.169118,2.822689,0.890686,0.984591,0.593647
4,2079,0.881674,0.867244,0.872535,74726.708256,61,57,2446.780204,177.560408,0.479797,51.449636,0.597929,2.490004,2.087934,2.558995,55.944825,49.084847,-75.294792,216.515765,0.893309,10841245.240484,37.800000,55,62,0.849688,10918.376116,64.078065,52.482913,0.166441,0.000469,0.000018,0.000005,0.000000,0.000000,-0.000000,1,1.903077,0.633846,0.694565,-0.339264,2079,74726.708256,2446.780204,177.560408,55.944825,49.084847,216.515765,10918.376116,60.535825,81.674363,6.741979,0.053350,2.255876,0.011632,0.009744,0.014806,0.015745,0.019772,0.026383,0.032838,0.030504,0.031150,0.032700,0.026356,0.025651,0.030967,0.021570,0.031752,0.024052,0.028204,0.029852,0.026507,0.022991,0.021608,0.027260,0.023871,0.027800,0.024138,0.018148,0.020372,0.016903,0.019690,0.027108,0.031488,0.031856,0.031462,0.028552,0.026332,0.024339,0.015955,0.009959,0.010180,0.009094,0.008215,0.006726,0.006602,0.006331,0.008149,0.009483,0.009604,0.009799,0.007431,4.152617,4.514262,1.687153,0.399100,0.240186,0.169770,0.128250,0.082255,0.076038,0.057427,0.045761,0.035293,0.031753,0.027596,0.024119,0.020714,0.018722,0.015238,0.014232,0.013868,0.013064,0.010633,0.011059,0.011004,0.010569,0.009822,0.009744,0.009618,0.008749,0.007547,0.007547,0.007565,0.006571,0.006393,0.006123,0.005407,0.005766,0.005912,0.006328,0.006250,0.006586,0.006895,0.006019,0.005696,0.005456,0.005184,0.005418,0.005267,0.005144,0.005137,0.061407,0.059146,0.751573,0.084761,0.449640,0.069166,0.197784,0.383223,0.166570,0.057649,0.059523,0.767963,0.114552,0.138405,0.211041,0.387872,0.389555,0.156046,0.246999,0.092138,0.813285,0.113386,0.161280,0.228735,0.314229,0.111859,0.258124,0.219769,0.224881,0.195578,0.117286,0.650323,0.162645,0.230831,0.441620,0.389149,0.160626,0.249958,0.289167,0.395922,0.338248,0.378855,0.345757,0.451529,0.299962,0.397903,0.164808,0.243771,0.408125,0.394672,0.354365,0.289255,0.163422,0.443625,0.229305,0.468190,0.396512,0.144721,0.674568,0.143133,0.094863,0.116965,0.227685,0.164635,0.481983,0.609757,0.466057,0.239698,0.168725,0.121844,0.149168,0.168972,0.412946,0.167466,0.390238,0.500918,0.291154,0.126415,0.136480,0.139710,0.509242,0.044348,9.602072,0.815920,0.838527,1.027707,0.820081,0.609677
5,2507,0.911377,0.731737,0.946906,114925.218855,53,70,2723.467381,187.934762,0.742646,56.497890,0.675741,1.860191,6.104833,1.169379,69.574186,46.592701,18.847642,214.344192,0.912557,10311294.741978,51.122449,49,71,0.920518,13137.937659,71.566444,49.038223,0.174727,0.004426,0.000049,0.000003,-0.000000,-0.000000,-0.000000,1,2.085448,0.628841,0.688474,-0.287364,2507,114925.218855,2723.467381,187.934762,69.574186,46.592701,214.344192,13137.937659,61.342293,101.941364,6.805913,0.054703,1.458025,0.010752,0.015455,0.021038,0.020577,0.028177,0.030811,0.033291,0.031741,0.031156,0.032501,0.027144,0.025614,0.020211,0.016848,0.024636,0.017090,0.016962,0.015092,0.013838,0.014040,0.016150,0.019472,0.017973,0.018215,0.015642,0.016246,0.021289,0.021061,0.025301,0.025415,0.028385,0.025722,0.021950,0.017605,0.012846,0.012830,0.015403,0.010680,0.015435,0.013246,0.020046,0.026545,0.027082,0.034913,0.026614,0.018833,0.014035,0.013883,0.010962,6.187102,5.757176,1.568052,0.466406,0.226012,0.159754,0.135538,0.077485,0.076726,0.055579,0.054635,0.040908,0.033850,0.030751,0.025313,0.022421,0.018110,0.017102,0.015583,0.012118,0.013492,0.010729,0.011643,0.009765,0.010712,0.009504,0.008882,0.007722,0.007978,0.006846,0.007067,0.005960,0.006201,0.006168,0.006508,0.005683,0.005546,0.005734,0.005211,0.005995,0.005404,0.005432,0.004924,0.004993,0.004369,0.004760,0.004960,0.005430,0.004814,0.005238,0.133807,0.101321,0.708204,0.131718,0.533440,0.089391,0.207886,0.269052,0.211593,0.142393,0.126015,0.773951,0.155880,0.158445,0.273261,0.318182,0.303475,0.217789,0.366073,0.132145,0.767413,0.122304,0.155269,0.275789,0.234968,0.122905,0.272328,0.372609,0.253056,0.133402,0.164151,0.715312,0.107816,0.284141,0.188184,0.336060,0.385542,0.316574,0.173765,0.267664,0.451355,0.350840,0.398472,0.214109,0.343316,0.468477,0.173447,0.154919,0.231118,0.504317,0.378971,0.247027,0.145814,0.439079,0.308859,0.478939,0.132137,0.114072,0.740432,0.111457,0.226873,0.122319,0.132867,0.317359,0.577371,0.302878,0.371650,0.373814,0.179103,0.315881,0.194390,0.163348,0.429147,0.227981,0.313774,0.413044,0.397112,0.172137,0.197992,0.193320,0.480514,0.054567,11.696142,5.220576,3.281832,0.628634,0.876790,0.720034
6,4386,0.909547,0.911597,0.927774,224984.896087,85,80,5055.396011,251.792022,0.371359,74.729035,0.645000,2.306014,1.963101,1.988770,78.293380,72.694580,-24.409341,307.084307,0.929632,14515121.332752,52.879518,83,81,0.867588,22082.562789,86.143591,78.598040,0.162616,0.000145,0.000064,0.000000,0.000000,-0.000000,0.000000,1,1.947346,0.635763,0.704034,-0.463254,4386,224984.896087,5055.396011,251.792022,78.293380,72.694580,307.084307,22082.562789,50.350276,75.759462,6.765958,0.037524,1.763162,0.010891,0.010447,0.012314,0.012434,0.015224,0.018667,0.023298,0.022920,0.029541,0.029026,0.021124,0.028733,0.033514,0.022809,0.032230,0.030430,0.036231,0.032956,0.028979,0.031055,0.027275,0.025928,0.020379,0.025342,0.020413,0.017854,0.026117,0.025543,0.032037,0.027388,0.022326,0.021176,0.027872,0.022568,0.017690,0.017070,0.018326,0.010650,0.012987,0.010890,0.013480,0.014432,0.010374,0.010322,0.009406,0.011192,0.009889,0.009653,0.009490,10.713669,5.270855,1.022351,0.300387,0.224143,0.156438,0.114899,0.089598,0.076239,0.061559,0.046754,0.038712,0.033036,0.026944,0.022849,0.021970,0.021770,0.017893,0.016597,0.014842,0.014707,0.012784,0.011382,0.009730,0.010788,0.009619,0.009162,0.009032,0.008531,0.008052,0.007875,0.006978,0.006526,0.006986,0.006227,0.005393,0.006313,0.006236,0.005948,0.006241,0.005657,0.005781,0.005954,0.005579,0.005369,0.005225,0.005026,0.005088,0.005566,0.005211,0.110440,0.143532,0.650366,0.119912,0.504011,0.095225,0.212137,0.419818,0.213311,0.099099,0.192816,0.693908,0.147475,0.130164,0.259628,0.427987,0.387517,0.179029,0.236630,0.159494,0.718425,0.125656,0.186474,0.343763,0.364987,0.136292,0.286194,0.322589,0.346001,0.172995,0.151798,0.657084,0.193989,0.240994,0.287304,0.336506,0.275519,0.363533,0.327038,0.377382,0.237150,0.385836,0.375985,0.335279,0.289265,0.397204,0.184974,0.277726,0.422972,0.355412,0.395682,0.268121,0.215625,0.388213,0.233496,0.586127,0.250863,0.126864,0.630861,0.172387,0.209245,0.158002,0.162652,0.217165,0.563114,0.471472,0.412322,0.182915,0.244398,0.277411,0.225693,0.149543,0.454351,0.137505,0.384991,0.545623,0.253177,0.176758,0.187723,0.184774,0.404982,0.046511,14.282723,0.987093,0.851296,0.862427,0.819944,0.652834
7,11829,0.915363,0.905217,0.915532,989323.916730,147,141,14298.201882,431.403765,0.371312,122.723879,0.570705,3.408028,4.060513,3.672762,129.143615,119.910878,72.610146,611.446789,0.947768,27830913.934084,83.879433,141,141,0.827307,65839.802074,147.339480,126.275354,0.164078,0.000148,0.000003,0.000002,0.000000,0.000000,0.000000,1,1.923016,0.644561,0.707573,-0.414172,11829,989323.916730,14298.201882,431.403765,129.143615,119.910878,611.446789,65839.802074,57.302916,41.728718,6.149168,0.048070,6.135722,0.023353,0.010784,0.014590,0.017551,0.018578,0.018430,0.023919,0.032285,0.036740,0.037814,0.032890,0.034487,0.027150,0.018695,0.028003,0.021582,0.036841,0.033095,0.024619,0.018302,0.017096,0.019777,0.015079,0.013928,0.012098,0.013250,0.014367,0.020074,0.028655,0.026220,0.024203,0.020956,0.018794,0.015324,0.014085,0.017290,0.026056,0.018349,0.025089,0.026124,0.026010,0.022676,0.017010,0.011605,0.007778,0.008950,0.010093,0.012623,0.010085,21.245222,2.234644,0.606248,0.282567,0.206615,0.138046,0.116354,0.094782,0.070038,0.050332,0.039174,0.033638,0.033739,0.031989,0.030555,0.024079,0.020870,0.016091,0.016160,0.014985,0.015878,0.014707,0.013067,0.011920,0.010455,0.010243,0.010354,0.009453,0.009490,0.009536,0.008492,0.007651,0.007463,0.007542,0.007193,0.007212,0.007611,0.007515,0.007002,0.006320,0.006087,0.006058,0.006091,0.006324,0.006683,0.006554,0.006328,0.006137,0.006012,0.006301,0.110324,0.071739,0.581929,0.118231,0.448886,0.078960,0.182374,0.541314,0.309916,0.044593,0.056693,0.641706,0.080096,0.104620,0.353535,0.436119,0.491557,0.093990,0.271787,0.083816,0.620133,0.089961,0.224103,0.529212,0.351022,0.085146,0.256308,0.510780,0.198985,0.120583,0.124763,0.612311,0.103762,0.143987,0.314487,0.405064,0.214072,0.257070,0.280778,0.455997,0.274145,0.504761,0.329430,0.387421,0.112953,0.365404,0.078776,0.118587,0.521376,0.445464,0.472252,0.146689,0.095346,0.349726,0.499729,0.537798,0.283846,0.103844,0.573431,0.096460,0.100485,0.100603,0.106514,0.189582,0.528130,0.579305,0.559584,0.095105,0.084100,0.093448,0.093372,0.053290,0.318016,0.095915,0.344869,0.755872,0.249566,0.097768,0.101194,0.116957,0.321912,0.031640,19.345919,1.105575,1.191455,1.077680,0.705546,0.594890
8,1893,0.836945,0.859155,0.820693,60246.845917,58,59,2597.884686,184.769372,0.513574,49.094220,0.553185,3.180071,3.202713,3.261543,56.127264,48.159733,-29.291949,249.208153,0.863531,12237569.664283,34.830189,53,60,0.728670,10072.255762,67.415835,53.511789,0.180492,0.000752,0.000268,0.000154,0.000000,0.000004,-0.000000,1,2.029217,0.656150,0.693294,-0.183724,1893,60246.845917,2597.884686,184.769372,56.127264,48.159733,249.208153,10072.255762,63.249622,76.153724,6.658473,0.057957,3.171156,0.012617,0.010122,0.016948,0.022811,0.027406,0.026351,0.028675,0.035664,0.037382,0.032555,0.019002,0.022326,0.025733,0.018538,0.024639,0.019062,0.022256,0.020741,0.021085,0.024098,0.025589,0.025848,0.025745,0.031283,0.024818,0.022459,0.028918,0.027046,0.028819,0.023167,0.022595,0.021448,0.021976,0.021227,0.018690,0.021091,0.018476,0.011210,0.014398,0.011944,0.013258,0.012899,0.010823,0.009101,0.009437,0.008976,0.008995,0.012560,0.011808,3.162088,3.451133,1.256844,0.275572,0.258235,0.124022,0.115080,0.097788,0.078945,0.064541,0.054669,0.037684,0.037741,0.027991,0.022442,0.022463,0.019628,0.018541,0.018863,0.016043,0.014867,0.012758,0.010387,0.009874,0.008474,0.009000,0.009275,0.007823,0.008503,0.008657,0.008070,0.008264,0.006997,0.006636,0.006910,0.006296,0.006911,0.006431,0.006517,0.006572,0.006142,0.006340,0.005568,0.005186,0.005345,0.005388,0.005229,0.005963,0.005829,0.005964,0.084995,0.071007,0.729638,0.089327,0.526309,0.081374,0.133848,0.319762,0.208797,0.083446,0.073531,0.779649,0.119302,0.148162,0.275992,0.326340,0.342464,0.208901,0.238946,0.100210,0.798502,0.124305,0.152594,0.274856,0.277631,0.113885,0.301537,0.268654,0.138069,0.116840,0.098982,0.706969,0.135413,0.170253,0.400421,0.421718,0.250401,0.150781,0.178024,0.393737,0.363608,0.397235,0.314000,0.413415,0.410277,0.343917,0.136929,0.183177,0.425416,0.400360,0.385385,0.277781,0.153626,0.488736,0.298380,0.360509,0.368036,0.113452,0.725682,0.114550,0.127315,0.160979,0.225434,0.285537,0.371879,0.595400,0.491459,0.250252,0.142950,0.165836,0.165167,0.215168,0.411739,0.138189,0.365567,0.540683,0.312552,0.138189,0.156439,0.117340,0.479967,0.030481,7.596060,0.981962,1.007120,1.025620,0.741426,0.580503
9,2606,0.879125,0.460476,0.895625,163786.671196,110,47,3030.442333,244.884665,0.934356,57.602624,0.504062,2.094475,14.302379,1.837283,98.328970,35.038742,-74.070117,279.865007,0.888046,14523372.021823,65.150000,40,113,0.859940,23138.302774,114.016412,39.726194,0.261227,0.040950,0.000175,0.000015,-0.000000,-0.000002,-0.000000,1,2.624738,0.730520,0.676162,0.460792,2606,163786.671196,3030.442333,244.884665,98.328970,35.038742,279.865007,23138.302774,60.390450,96.916731,6.716420,0.053108,1.353095,0.010975,0.004480,0.006063,0.005853,0.006673,0.006104,0.006501,0.006920,0.008486,0.010609,0.012150,0.018109,0.028542,0.026080,0.045684,0.050216,0.052805,0.056676,0.049756,0.051454,0.040522,0.052678,0.050957,0.057933,0.049257,0.039968,0.042294,0.027258,0.024524,0.020113,0.017651,0.013063,0.011309,0.008979,0.007650,0.008366,0.008215,0.005863,0.007094,0.006456,0.005916,0.005604,0.004612,0.004890,0.005252,0.005963,0.005234,0.005064,0.004149,3.789006,3.397782,1.874988,0.578959,0.249153,0.171282,0.123200,0.090774,0.070892,0.058386,0.052913,0.037114,0.034171,0.028614,0.023218,0.022899,0.021215,0.015804,0.014779,0.013899,0.010941,0.011634,0.012222,0.009844,0.009669,0.009488,0.008476,0.007431,0.007853,0.007671,0.007081,0.007104,0.006566,0.006269,0.006210,0.005453,0.005953,0.006196,0.005140,0.004786,0.005379,0.005036,0.004534,0.004838,0.004843,0.005107,0.004889,0.004686,0.004748,0.004889,0.049241,0.070091,0.833323,0.089156,0.364207,0.054460,0.108217,0.366148,0.094329,0.055875,0.078707,0.807594,0.174547,0.083861,0.098066,0.305624,0.434868,0.094032,0.175322,0.091617,0.841662,0.189660,0.090184,0.103414,0.334807,0.221069,0.191592,0.109209,0.195907,0.292507,0.181296,0.554177,0.100235,0.153771,0.659974,0.234295,0.121663,0.146171,0.462660,0.483163,0.147715,0.136851,0.277258,0.597052,0.206007,0.321709,0.105160,0.497819,0.514304,0.141858,0.154224,0.358959,0.324672,0.308122,0.104501,0.341842,0.549772,0.159752,0.581344,0.123403,0.201906,0.344779,0.177831,0.119071,0.252762,0.745172,0.395945,0.142858,0.107415,0.227928,0.313721,0.166014,0.427186,0.116293,0.518732,0.467633,0.163045,0.129825,0.205014,0.243293,0.414200,0.033272,9.311632,7.784526,6.828621,0.877204,0.875010,0.576549
10,11716,0.921192,0.848788,0.925205,1044886.386201,159,124,14688.084615,441.169229,0.576336,122.136295,0.594238,3.890273,7.038693,3.703796,136.575975,111.611626,-71.575877,607.470129,0.949876,26697261.470338,90.790698,129,149,0.797653,69051.262269,161.446582,123.701390,0.165946,0.001092,0.000026,0.000001,-0.000000,-0.000000,-0.000000,1,2.009470,0.652485,0.719622,-0.377279,11716,1044886.386201,14688.084615,441.169229,136.575975,111.611626,607.470129,69051.262269,62.456486,45.706640,6.277598,0.056594,6.952239,0.022118,0.013395,0.020622,0.022853,0.024615,0.022567,0.020131,0.017897,0.016903,0.016363,0.017302,0.020929,0.024230,0.020420,0.021435,0.014763,0.019706,0.018834,0.019112,0.023241,0.028365,0.048390,0.050973,0.035589,0.020064,0.018591,0.023619,0.018639,0.016363,0.015428,0.017165,0.020104,0.025300,0.029152,0.019544,0.021575,0.018946,0.010677,0.013479,0.014234,0.019411,0.018305,0.017059,0.018158,0.019867,0.021349,0.014477,0.016435,0.013427,21.710898,2.971524,0.644711,0.293035,0.235906,0.124104,0.099926,0.095590,0.068838,0.055147,0.051712,0.039515,0.033204,0.034321,0.028351,0.022148,0.022933,0.019134,0.017095,0.015898,0.015772,0.013967,0.013794,0.012462,0.011202,0.011289,0.010097,0.009156,0.009257,0.009013,0.008887,0.008397,0.008672,0.008765,0.007934,0.007157,0.007576,0.007047,0.006464,0.006569,0.006725,0.007194,0.006742,0.007056,0.006715,0.006574,0.006361,0.006237,0.006285,0.006519,0.071110,0.066890,0.611380,0.073452,0.470476,0.080518,0.283273,0.387031,0.391688,0.034484,0.066505,0.642385,0.060904,0.070758,0.226473,0.598604,0.384018,0.126198,0.279962,0.111794,0.609332,0.074870,0.277087,0.475200,0.396958,0.106942,0.246225,0.427678,0.185215,0.105281,0.092657,0.636428,0.090858,0.098268,0.175912,0.556075,0.131947,0.292273,0.374000,0.323803,0.320042,0.360217,0.371583,0.357236,0.393148,0.373634,0.081831,0.148429,0.334112,0.659002,0.380068,0.141653,0.105359,0.331870,0.389970,0.647491,0.248934,0.100031,0.555963,0.108211,0.110961,0.089500,0.124806,0.084014,0.625810,0.662269,0.352866,0.084845,0.093282,0.111416,0.084569,0.052169,0.327809,0.099081,0.534714,0.573901,0.351894,0.101802,0.120601,0.113612,0.325264,0.031749,19.286545,1.900400,1.809306,0.952066,0.726240,0.609334
